pfam_id,ppa_locus,evalue_full_seq,Description
14-3-3|PF00244.21,ppa_stranded_DN29292_c0_g1_i1,1.20E-99,14-3-3
2-Hacid_dh|PF00389.31,PPA03076,1.30E-73,D-isomer
2-Hacid_dh|PF00389.31,PPA19589,1.70E-57,D-isomer
2-oxoacid_dh|PF00198.24,isototal.2590.3,2.80E-76,2-oxoacid
2-oxoacid_dh|PF00198.24,PPA33867,1.10E-77,2-oxoacid
2-oxoacid_dh|PF00198.24,PPA34725,5.50E-19,2-oxoacid
2-oxoacid_dh|PF00198.24,PPA38683,2.00E-57,2-oxoacid
2Fe-2S_thioredx|PF01257.20,ppa_stranded_DN7270_c0_g1_i1,7.00E-62,Thioredoxin-like
2OG-FeII_Oxy_2|PF13532.7,ppa_stranded_DN18837_c0_g1_i1,2.10E-33,2OG-Fe(II)
2OG-FeII_Oxy_2|PF13532.7,ppa_stranded_DN24831_c0_g2_i1,1.90E-19,2OG-Fe(II)
2OG-FeII_Oxy_2|PF13532.7,ppa_stranded_DN30098_c1_g1_i3,9.00E-11,2OG-Fe(II)
2OG-FeII_Oxy_2|PF13532.7,PPA02542,1.20E-08,2OG-Fe(II)
2OG-FeII_Oxy_2|PF13532.7,UMM-S10-23.12-mRNA-1_frag,9.40E-18,2OG-Fe(II)
2OG-FeII_Oxy_3|PF13640.7,ppa_stranded_DN12354_c0_g1_i1,1.40E-13,2OG-Fe(II)
2OG-FeII_Oxy_3|PF13640.7,ppa_stranded_DN21501_c0_g2_i1,1.60E-12,2OG-Fe(II)
2OG-FeII_Oxy_3|PF13640.7,PPA34606,0.005,2OG-Fe(II)
2OG-FeII_Oxy_3|PF13640.7,PPA34634,1.10E-18,2OG-Fe(II)
2OG-FeII_Oxy_3|PF13640.7,UMM-S245-17.78-mRNA-1_frag_1,5.10E-13,2OG-Fe(II)
2OG-FeII_Oxy_4|PF13661.7,PPA21850,8.00E-24,2OG-Fe(II)
2OG-FeII_Oxy|PF03171.21,ppa_stranded_DN29088_c3_g1_i1,1.30E-05,2OG-Fe(II)
3-HAO|PF06052.13,ppa_stranded_DN20263_c0_g1_i1,5.80E-64,3-hydroxyanthranilic
3Beta_HSD|PF01073.20,PPA01930,8.00E-04,3-beta
3Beta_HSD|PF01073.20,PPA10139,2.30E-42,3-beta
3HCDH_N|PF02737.19,ppa_stranded_DN48024_c0_g1_i1,4.50E-55,3-hydroxyacyl-CoA
3HCDH_N|PF02737.19,ppa_stranded_DN7638_c0_g1_i1,7.10E-61,3-hydroxyacyl-CoA
3HCDH_N|PF02737.19,PPA28348,3.40E-08,3-hydroxyacyl-CoA
3HCDH_N|PF02737.19,PPA31116,1.30E-36,3-hydroxyacyl-CoA
3HCDH_N|PF02737.19,PPA34684,8.30E-56,3-hydroxyacyl-CoA
40S_S4_C|PF16121.6,PPA33923,8.00E-10,40S
4F5|PF04419.15,PPA01586,1.50E-09,4F5
4F5|PF04419.15,PPA21103,1.10E-09,4F5
4HB_MCP_1|PF12729.8,PPA10870,0.0017,Four
4HBT_3|PF13622.7,Contig36-snapTAU.145,1.50E-53,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN20631_c0_g1_i1,6.20E-22,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN23760_c0_g1_i3,3.80E-52,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN24745_c0_g2_i2,2.80E-17,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN27710_c0_g1_i1,1.10E-55,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN28166_c0_g2_i3,3.60E-54,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN29832_c0_g1_i4,4.80E-20,Thioesterase-like
4HBT_3|PF13622.7,ppa_stranded_DN31674_c2_g4_i1,4.10E-44,Thioesterase-like
4HBT_3|PF13622.7,PPA10038,1.30E-13,Thioesterase-like
4HBT_3|PF13622.7,PPA14253,1.20E-55,Thioesterase-like
4HBT_3|PF13622.7,PPA16239,2.30E-55,Thioesterase-like
4HBT_3|PF13622.7,PPA37165,5.40E-56,Thioesterase-like
4HBT_3|PF13622.7,PPA40887,2.40E-22,Thioesterase-like
4HBT_3|PF13622.7,PPA41937,1.10E-34,Thioesterase-like
4HBT|PF03061.23,Iso_D.9690.1,2.90E-27,Thioesterase
4HBT|PF03061.23,ppa_stranded_DN20961_c1_g1_i1,5.80E-16,Thioesterase
4HBT|PF03061.23,ppa_stranded_DN22365_c0_g1_i1,6.00E-15,Thioesterase
4HBT|PF03061.23,PPA05072,2.30E-29,Thioesterase
5_nucleotid|PF05761.15,isopolya.8083.2,2.50E-161,5'
5_nucleotid|PF05761.15,PPA11714,1.90E-137,5'
5-FTHF_cyc-lig|PF01812.21,ppa_stranded_DN28181_c1_g1_i1,4.40E-37,5-formyltetrahydrofolate
60KD_IMP|PF02096.21,ppa_stranded_DN29700_c0_g1_i2,0.00041,60Kd
